time,ax,ay,az,atotal
0.000,0.83,-0.07,0.47,0.96
0.010,0.78,-0.04,0.63,1.00
0.020,0.81,-0.10,0.74,1.10
0.030,1.01,-0.10,0.76,1.27
0.040,1.10,-0.08,0.60,1.26
0.051,1.03,-0.03,0.35,1.09
0.060,0.85,-0.10,0.22,0.89
0.071,0.65,-0.31,0.07,0.73
0.081,0.47,-0.44,-0.19,0.67
0.091,0.35,-0.41,-0.42,0.68
0.101,0.36,-0.30,-0.52,0.70
0.111,0.43,-0.27,-0.32,0.60
0.121,0.48,-0.35,0.14,0.62
0.131,0.40,-0.48,0.42,0.75
0.141,0.29,-0.58,0.44,0.78
0.151,0.20,-0.58,0.19,0.64
0.161,0.12,-0.49,-0.15,0.53
0.172,0.06,-0.39,-0.34,0.53
0.182,-0.02,-0.34,-0.22,0.41
0.192,-0.06,-0.45,0.08,0.46
0.202,-0.07,-0.64,0.45,0.79
0.212,-0.12,-0.82,1.00,1.30
0.222,-0.20,-1.12,1.39,1.79
0.232,-0.27,-1.42,1.47,2.06
0.242,-0.37,-1.51,1.47,2.14
0.252,-0.47,-1.54,1.34,2.10
0.262,-0.54,-1.60,1.00,1.96
0.272,-0.53,-1.52,0.60,1.71
0.282,-0.49,-1.27,0.39,1.41
0.292,-0.43,-1.00,0.37,1.15
0.302,-0.29,-0.84,0.47,1.01
0.312,-0.17,-0.79,0.55,0.98
0.323,-0.17,-0.84,0.47,0.98
0.333,-0.27,-0.89,0.33,0.99
0.343,-0.50,-0.92,0.28,1.08
0.353,-0.86,-1.01,0.30,1.36
0.363,-1.10,-1.05,0.33,1.56
0.373,-1.33,-1.07,0.38,1.75
0.383,-1.47,-1.08,0.44,1.88
0.393,-1.48,-1.01,0.58,1.88
0.403,-1.38,-0.94,0.76,1.84
0.413,-1.10,-0.78,1.08,1.73
0.423,-0.73,-0.55,1.46,1.73
0.434,-0.40,-0.39,1.59,1.69
0.443,0.02,-0.27,1.32,1.35
0.454,0.30,-0.24,0.75,0.84
0.464,0.19,-0.33,0.10,0.39
0.474,-0.16,-0.50,-0.35,0.63
0.484,-0.51,-0.73,-0.51,1.03
0.494,-0.76,-0.97,-0.42,1.30
0.504,-0.86,-1.17,-0.12,1.45
0.514,-0.74,-1.21,0.16,1.43
0.524,-0.46,-1.11,0.26,1.23
0.534,-0.03,-0.83,0.16,0.84
0.544,0.37,-0.37,-0.03,0.52
0.555,0.62,0.06,-0.19,0.65
0.564,0.79,0.29,-0.37,0.92
0.575,0.77,0.29,-0.47,0.95
0.585,0.47,0.21,-0.39,0.65
0.595,0.12,0.07,-0.19,0.24
0.605,-0.10,-0.17,-0.04,0.20
0.615,-0.21,-0.42,-0.00,0.47
0.625,-0.30,-0.52,-0.01,0.59
0.635,-0.29,-0.46,-0.07,0.55
0.645,-0.09,-0.34,-0.15,0.38
0.655,0.20,-0.18,-0.27,0.38
0.665,0.42,-0.01,-0.43,0.60
0.675,0.61,0.07,-0.66,0.90
0.685,0.72,0.16,-0.89,1.16
0.696,0.75,0.27,-1.04,1.31
0.705,0.72,0.22,-1.16,1.38
0.716,0.58,0.15,-1.19,1.33
0.726,0.44,0.05,-1.03,1.12
0.736,0.31,-0.07,-0.69,0.76
0.746,0.34,-0.19,-0.27,0.47
0.756,0.42,-0.28,0.06,0.50
0.766,0.55,-0.30,0.17,0.65
0.776,0.62,-0.26,0.13,0.68
0.786,0.59,-0.11,-0.03,0.60
0.796,0.51,-0.04,-0.20,0.55
0.806,0.39,-0.04,-0.38,0.54
0.817,0.24,-0.04,-0.47,0.53
0.826,0.04,-0.07,-0.41,0.42
0.837,-0.11,-0.14,-0.25,0.30
0.847,-0.21,-0.23,0.01,0.31
0.857,-0.26,-0.29,0.16,0.42
0.867,-0.20,-0.35,0.22,0.46
0.877,-0.13,-0.35,0.16,0.41
0.887,-0.03,-0.30,0.04,0.30
0.897,0.09,-0.21,-0.09,0.25
0.907,0.12,-0.11,-0.22,0.27
0.917,0.09,-0.12,-0.37,0.40
0.927,-0.02,-0.16,-0.41,0.44
0.938,-0.06,-0.18,-0.38,0.42
0.947,0.01,-0.13,-0.39,0.41
0.958,0.10,-0.09,-0.40,0.42
0.968,0.13,-0.03,-0.37,0.40
0.978,0.15,0.03,-0.32,0.36
0.988,0.23,0.06,-0.31,0.39
0.998,0.29,0.12,-0.36,0.48
1.008,0.25,0.14,-0.40,0.50
1.018,0.20,0.17,-0.44,0.51
1.028,0.13,0.17,-0.51,0.56
1.038,0.03,0.15,-0.60,0.62
1.048,-0.01,0.16,-0.68,0.69
1.058,0.08,0.25,-0.72,0.77
1.068,0.19,0.34,-0.64,0.75
1.079,0.31,0.39,-0.48,0.69
1.089,0.48,0.37,-0.39,0.72
1.099,0.55,0.36,-0.38,0.76
1.109,0.51,0.36,-0.40,0.74
1.119,0.42,0.46,-0.51,0.80
1.129,0.42,0.57,-0.67,0.97
1.139,0.54,0.72,-0.81,1.21
1.149,0.59,0.86,-0.82,1.33
1.159,0.58,0.92,-0.72,1.30
1.169,0.64,0.90,-0.52,1.22
1.179,0.72,0.84,-0.30,1.15
1.189,0.73,0.82,-0.09,1.10
1.200,0.66,0.78,0.09,1.02
1.209,0.60,0.72,0.20,0.96
1.220,0.57,0.69,0.25,0.93
1.230,0.49,0.72,0.29,0.92
1.240,0.46,0.77,0.27,0.94
1.250,0.50,0.87,0.22,1.02
1.260,0.51,0.95,0.22,1.10
1.270,0.47,0.96,0.22,1.09
1.280,0.49,0.92,0.27,1.07
1.290,0.55,0.84,0.29,1.04
1.300,0.56,0.77,0.30,1.00
1.310,0.56,0.80,0.21,1.00
1.320,0.56,0.84,0.06,1.02
1.330,0.54,0.91,-0.18,1.07
1.341,0.44,0.99,-0.35,1.14
1.351,0.29,1.02,-0.47,1.16
1.361,0.17,1.02,-0.57,1.18
1.371,0.07,1.04,-0.69,1.25
1.381,0.02,1.06,-0.77,1.31
1.391,-0.01,1.09,-0.83,1.37
1.401,0.02,1.11,-0.84,1.39
1.411,0.11,1.12,-0.83,1.40
1.421,0.22,1.16,-0.80,1.42
1.431,0.29,1.14,-0.75,1.39
1.441,0.32,1.03,-0.71,1.29
1.451,0.28,0.93,-0.73,1.21
1.462,0.20,0.83,-0.69,1.10
1.472,0.19,0.80,-0.65,1.04
1.482,0.18,0.73,-0.57,0.94
1.492,0.20,0.64,-0.41,0.78
1.502,0.26,0.59,-0.23,0.69
1.512,0.33,0.56,-0.12,0.66
1.522,0.39,0.52,-0.02,0.65
1.532,0.47,0.51,0.02,0.69
1.542,0.52,0.49,-0.09,0.72
1.552,0.50,0.51,-0.33,0.79
1.562,0.37,0.48,-0.62,0.87
1.572,0.23,0.44,-0.86,0.99
1.583,0.13,0.35,-1.09,1.15
1.592,0.08,0.28,-1.24,1.27
1.603,0.08,0.27,-1.26,1.29
1.613,0.12,0.24,-1.13,1.16
1.623,0.23,0.18,-0.83,0.88
1.633,0.24,0.03,-0.37,0.44
1.643,0.16,-0.15,0.12,0.25
1.653,0.04,-0.35,0.47,0.59
1.663,-0.09,-0.53,0.70,0.88
1.673,-0.20,-0.65,0.80,1.05
1.683,-0.24,-0.68,0.82,1.09
1.693,-0.17,-0.67,0.77,1.04
1.703,-0.05,-0.63,0.64,0.90
1.713,0.09,-0.55,0.46,0.72
1.724,0.22,-0.44,0.25,0.55
1.734,0.31,-0.36,-0.03,0.47
1.744,0.30,-0.31,-0.31,0.54
1.754,0.19,-0.28,-0.55,0.65
1.764,0.09,-0.27,-0.71,0.76
1.774,-0.02,-0.23,-0.75,0.78
1.784,-0.02,-0.18,-0.71,0.73
1.794,-0.07,-0.19,-0.64,0.67
1.804,-0.13,-0.17,-0.55,0.59
1.814,-0.07,-0.11,-0.51,0.53
1.824,0.03,-0.06,-0.50,0.50
1.834,0.12,0.00,-0.49,0.50
1.844,0.17,0.05,-0.49,0.52
1.854,0.24,0.06,-0.52,0.57
1.865,0.26,0.08,-0.46,0.53
1.875,0.26,0.08,-0.32,0.42
1.885,0.21,0.04,-0.13,0.25
1.895,0.18,-0.01,0.09,0.21
1.905,0.14,-0.08,0.25,0.30
1.915,0.08,-0.12,0.29,0.32
1.925,0.02,-0.12,0.25,0.28
1.935,-0.04,-0.09,0.15,0.18
1.945,-0.07,-0.06,0.02,0.09
1.955,-0.09,-0.05,-0.16,0.18
1.966,-0.09,0.01,-0.37,0.38
1.975,-0.11,0.08,-0.58,0.59
1.986,-0.12,0.13,-0.69,0.72
1.996,-0.13,0.15,-0.72,0.75
2.006,-0.12,0.18,-0.65,0.68
2.016,-0.11,0.12,-0.48,0.51
2.026,-0.14,0.04,-0.20,0.25
2.036,-0.20,-0.06,0.12,0.24
2.046,-0.26,-0.10,0.34,0.44
2.056,-0.28,-0.17,0.36,0.48
2.066,-0.32,-0.19,0.25,0.45
2.076,-0.45,-0.14,0.05,0.47
2.087,-0.49,-0.14,-0.23,0.56
2.096,-0.47,-0.25,-0.52,0.75
2.107,-0.39,-0.09,-0.74,0.84
2.117,-0.29,0.10,-0.77,0.83
2.127,-0.17,0.06,-0.77,0.79
2.137,-0.09,-0.06,-0.77,0.78
2.147,-0.08,-0.13,-0.70,0.72
2.157,-0.11,-0.13,-0.57,0.60
2.167,-0.02,-0.16,-0.43,0.46
2.177,0.12,-0.20,-0.28,0.37
2.187,0.22,-0.23,-0.11,0.34
2.197,0.31,-0.20,-0.01,0.37
2.207,0.43,-0.10,0.02,0.45
2.217,0.52,-0.00,-0.10,0.53
2.228,0.55,-0.01,-0.19,0.58
2.238,0.57,-0.09,-0.32,0.66
2.248,0.53,-0.14,-0.44,0.71
2.258,0.39,-0.10,-0.50,0.64
2.268,0.18,-0.04,-0.48,0.51
2.278,-0.05,-0.04,-0.37,0.37
2.288,-0.15,-0.06,-0.12,0.20
2.298,-0.11,-0.08,0.13,0.18
2.308,0.01,-0.08,0.18,0.19
2.318,0.09,-0.07,0.23,0.26
2.328,0.09,-0.09,0.33,0.35
2.338,0.01,-0.19,0.35,0.40
2.349,-0.08,-0.28,0.34,0.44
2.358,-0.12,-0.23,0.28,0.38
2.369,-0.08,-0.08,0.28,0.30
2.379,0.04,0.10,0.39,0.41
2.389,0.20,0.26,0.53,0.63
2.399,0.38,0.27,0.47,0.66
2.409,0.39,0.24,0.26,0.53
2.419,0.31,0.24,0.17,0.43
2.429,0.21,0.25,0.08,0.33
2.439,0.05,0.19,0.07,0.21
2.449,-0.08,0.18,0.19,0.27
2.459,-0.11,0.19,0.23,0.32
2.469,0.01,0.17,0.13,0.21
2.479,0.03,0.20,0.04,0.21
2.490,-0.02,0.24,-0.07,0.25
2.500,-0.13,0.28,-0.27,0.41
2.510,-0.22,0.28,-0.48,0.59
2.520,-0.42,0.28,-0.56,0.75
2.530,-0.62,0.24,-0.52,0.84
2.540,-0.57,0.15,-0.32,0.67
2.550,-0.36,0.08,-0.15,0.40
2.560,-0.22,0.11,-0.08,0.26
2.570,-0.10,0.19,-0.07,0.22
2.580,-0.03,0.26,-0.11,0.29
2.590,-0.06,0.31,-0.17,0.36
2.600,-0.09,0.30,-0.24,0.40
2.610,-0.10,0.31,-0.25,0.41
2.621,-0.06,0.31,-0.23,0.39
2.631,-0.02,0.35,-0.13,0.37
2.641,-0.02,0.26,-0.10,0.28
2.651,-0.14,0.16,-0.09,0.23
2.661,-0.29,0.11,-0.04,0.31
2.671,-0.35,0.02,0.11,0.37
2.681,-0.19,-0.04,0.42,0.47
2.691,0.15,0.01,0.84,0.85
2.701,0.35,-0.01,1.04,1.10
2.711,0.42,-0.02,0.97,1.05
2.721,0.39,0.00,0.72,0.82
2.732,0.28,0.04,0.28,0.40
2.741,0.06,0.04,-0.16,0.18
2.752,-0.17,0.05,-0.41,0.45
2.762,-0.31,0.04,-0.42,0.53
2.772,-0.34,-0.04,-0.26,0.43
2.782,-0.37,-0.09,-0.06,0.38
2.792,-0.32,-0.13,0.01,0.34
2.802,-0.21,-0.09,0.13,0.27
2.812,-0.10,-0.13,0.34,0.38
2.822,-0.15,-0.27,0.46,0.56
2.832,-0.24,-0.37,0.35,0.56
2.842,-0.48,-0.41,0.06,0.63
2.852,-0.88,-0.69,-0.47,1.21
2.862,-1.76,-1.51,-0.58,2.39
2.873,-1.98,-1.25,0.07,2.34
2.883,-0.07,0.42,0.33,0.54
2.893,0.69,0.94,-0.26,1.20
2.903,0.47,0.31,-0.59,0.82
2.913,0.22,0.26,-0.48,0.58
2.923,-0.17,-0.08,-0.24,0.30
2.933,-0.48,-0.33,-0.28,0.64
2.943,-0.69,-0.28,-0.33,0.82
2.953,-0.59,-0.41,-0.25,0.76
2.963,-0.50,-0.49,-0.16,0.72
2.973,-0.45,-0.30,-0.17,0.57
2.983,-0.32,-0.07,-0.25,0.42
2.994,-0.52,-0.46,-0.49,0.86
3.004,-1.01,-1.01,-0.51,1.52
3.014,-0.99,-0.65,-0.09,1.19
3.024,-0.40,0.17,0.13,0.46
3.034,0.27,0.63,0.08,0.69
3.044,0.64,0.70,0.31,1.00
3.054,0.65,0.39,0.52,0.92
3.064,0.30,-0.09,0.53,0.62
3.074,-0.14,-0.42,0.30,0.53
3.084,-0.46,-0.51,0.07,0.70
3.094,-0.45,-0.43,-0.35,0.71
3.104,-0.39,-0.34,-0.73,0.90
3.114,-0.30,-0.09,-0.81,0.86
3.124,-0.19,0.23,-0.76,0.82
3.135,0.02,0.35,-0.59,0.68
3.145,0.22,0.33,-0.28,0.49
3.155,0.28,0.35,-0.06,0.45
3.165,0.37,0.43,0.14,0.59
3.175,0.41,0.44,0.33,0.69
3.185,0.41,0.38,0.49,0.75
3.195,0.40,0.26,0.63,0.79
3.205,0.33,0.16,0.65,0.75
3.215,0.20,0.12,0.52,0.57
3.225,0.05,0.09,0.49,0.50
3.235,-0.05,0.10,0.42,0.44
3.245,-0.03,0.18,0.28,0.33
3.256,0.11,0.30,0.11,0.33
3.266,0.26,0.37,0.06,0.46
3.276,0.33,0.36,0.11,0.50
3.286,0.42,0.40,0.01,0.58
3.296,0.44,0.45,-0.15,0.65
3.306,0.19,0.32,-0.20,0.42
3.316,-0.19,0.12,-0.25,0.34
3.326,-0.44,0.04,-0.20,0.49
3.336,-0.51,0.10,0.02,0.52
3.346,-0.35,0.15,0.47,0.61
3.356,0.01,0.06,0.85,0.85
3.366,0.31,0.05,0.89,0.94
3.377,0.41,0.18,0.62,0.77
3.386,0.40,0.20,0.20,0.49
3.397,0.34,0.11,-0.18,0.40
3.407,0.17,-0.02,-0.49,0.52
3.417,-0.01,-0.19,-0.54,0.58
3.427,-0.16,-0.37,-0.30,0.50
3.437,-0.30,-0.57,0.18,0.67
3.447,-0.33,-0.82,0.54,1.04
3.457,-0.18,-1.06,0.64,1.25
3.467,-0.06,-1.26,0.52,1.36
3.477,-0.02,-1.40,0.16,1.41
3.487,0.09,-1.62,-0.16,1.63
3.498,0.17,-1.96,-0.45,2.01
3.507,0.30,-2.49,-0.58,2.58
3.518,0.42,-3.31,-0.65,3.39
3.528,0.21,-3.80,-0.63,3.85
3.538,-0.45,-3.74,-0.67,3.82
3.548,-1.30,-2.91,-0.94,3.32
3.558,-2.22,-1.02,-1.50,2.87
3.568,-3.03,0.40,-2.32,3.84
3.578,-2.89,-0.06,-2.66,3.93
3.588,-1.95,-1.74,-2.74,3.79
3.598,-1.43,-2.53,-2.44,3.79
3.608,-1.27,-2.33,-1.66,3.13
3.618,-1.50,-1.77,-0.64,2.41
3.628,-1.83,-0.91,0.60,2.13
3.639,-1.52,-0.58,1.80,2.43
3.649,-1.64,-0.58,2.32,2.90
3.659,-1.71,-0.21,1.92,2.58
3.669,-1.01,0.11,1.16,1.54
3.679,-0.44,0.16,0.59,0.75
3.689,0.09,0.28,0.06,0.30
3.699,0.74,0.61,-0.45,1.06
3.709,1.26,1.10,-0.64,1.79
3.719,0.91,1.82,-0.39,2.08
3.729,-0.29,2.72,0.60,2.80
3.739,-1.36,3.23,1.83,3.95
3.749,-1.58,3.30,2.76,4.58
3.760,-1.37,3.44,3.55,5.13
3.770,-0.66,3.46,4.08,5.39
3.780,0.62,3.32,4.61,5.71
3.789,2.04,3.48,4.81,6.28
3.800,2.86,3.50,4.49,6.37
3.810,2.89,3.34,3.81,5.83
3.820,2.67,3.20,2.97,5.12
3.830,2.23,3.06,2.06,4.31
3.840,1.65,2.74,1.21,3.42
3.850,0.89,2.27,0.64,2.52
3.860,0.13,1.79,0.25,1.81
3.870,-0.65,1.37,0.09,1.52
3.880,-1.10,1.03,0.06,1.51
3.890,-1.19,0.73,0.03,1.40
3.901,-1.19,0.25,1.22,1.72
3.910,-0.61,0.45,1.64,1.81
3.921,-0.16,0.54,0.78,0.96
3.931,-0.15,-0.17,0.39,0.45
3.941,-0.40,-0.20,-0.01,0.45
3.951,-0.43,-0.45,-0.17,0.64
3.961,-0.53,-0.94,-0.64,1.25
3.971,-0.65,-1.42,-0.73,1.73
3.981,-0.91,-1.77,-0.54,2.06
3.991,-1.33,-2.30,-0.88,2.80
4.001,-1.71,-3.15,-1.26,3.80
4.011,-1.88,-3.44,0.04,3.92
4.021,-2.28,-2.77,-0.32,3.61
4.032,-1.57,-1.58,-0.71,2.34
4.042,-1.41,-1.08,-1.17,2.13
4.052,-1.69,-1.34,-1.79,2.80
4.062,-1.71,-1.50,-2.20,3.16
4.072,-1.50,-1.38,-2.60,3.30
4.082,-1.18,-1.02,-2.77,3.18
4.092,-0.46,-0.84,-2.31,2.50
4.102,0.72,-0.80,-1.57,1.90
4.112,1.75,-0.91,-0.96,2.19
4.122,2.25,-0.97,-0.62,2.53
4.132,2.23,-0.99,-0.61,2.51
4.143,1.71,-1.04,-0.94,2.21
4.152,1.21,-1.22,-1.45,2.24
4.163,1.25,-1.53,-2.26,3.00
4.173,1.66,-1.81,-2.73,3.68
4.183,2.00,-2.01,-2.45,3.75
4.193,2.36,-2.00,-1.62,3.49
4.203,2.74,-1.79,-0.77,3.36
4.213,3.06,-1.71,-0.19,3.51
4.223,3.55,-1.68,0.22,3.93
4.233,4.08,-1.50,0.66,4.40
4.243,4.39,-1.27,1.10,4.70
4.253,4.14,-1.00,1.39,4.48
4.263,3.43,-0.84,1.35,3.78
4.273,3.23,-0.80,0.84,3.43
4.284,3.57,-0.61,0.28,3.64
4.294,3.86,-0.07,0.06,3.86
4.304,3.89,0.51,0.26,3.93
4.314,3.63,0.87,0.70,3.80
4.324,3.51,1.05,0.81,3.75
4.334,3.21,1.21,0.72,3.50
4.344,2.74,1.35,0.39,3.08
4.354,2.55,1.27,-0.00,2.85
4.364,2.75,1.05,-0.27,2.96
4.374,3.11,1.06,-0.17,3.29
4.384,2.87,1.56,0.65,3.33
4.394,0.52,2.61,1.55,3.08
4.405,-0.69,2.72,1.57,3.21
4.414,-0.17,1.88,0.84,2.07
4.425,0.65,1.33,0.33,1.52
4.435,0.94,1.13,0.08,1.47
4.445,0.75,0.92,-0.25,1.21
4.455,0.51,0.65,-0.38,0.91
4.465,0.20,0.24,-0.29,0.43
4.475,0.09,-0.13,0.15,0.22
4.485,0.56,0.39,0.73,1.00
4.495,0.65,0.46,0.09,0.80
