time,ax,ay,az,atotal
0.000,-0.20,0.02,0.93,0.95
0.010,0.32,-0.10,1.43,1.47
0.020,0.49,-0.19,1.37,1.47
0.030,0.31,-0.22,0.87,0.95
0.040,0.11,-0.17,0.21,0.29
0.050,0.01,-0.11,-0.38,0.39
0.060,0.03,-0.07,-0.73,0.73
0.071,0.06,-0.06,-0.78,0.79
0.081,0.08,-0.05,-0.54,0.55
0.091,0.09,-0.03,-0.23,0.25
0.101,0.08,-0.09,0.01,0.12
0.111,0.14,-0.16,0.12,0.25
0.121,0.18,-0.20,0.14,0.30
0.131,0.12,-0.24,0.12,0.29
0.141,0.03,-0.22,0.06,0.23
0.151,-0.05,-0.16,-0.01,0.17
0.161,-0.02,-0.11,-0.09,0.14
0.171,0.08,-0.05,-0.19,0.22
0.182,0.13,-0.04,-0.25,0.28
0.192,0.08,-0.03,-0.21,0.23
0.202,-0.01,-0.04,-0.10,0.11
0.212,-0.10,-0.04,0.02,0.12
0.222,-0.11,-0.04,0.11,0.16
0.232,-0.07,-0.07,0.13,0.16
0.242,0.00,-0.07,0.09,0.12
0.252,0.09,-0.07,-0.01,0.11
0.262,0.10,-0.07,-0.14,0.18
0.272,0.09,-0.02,-0.21,0.23
0.282,0.08,0.02,-0.23,0.25
0.292,0.06,0.02,-0.20,0.21
0.302,-0.01,0.01,-0.09,0.09
0.313,-0.03,-0.07,0.05,0.09
0.323,-0.03,-0.13,0.23,0.26
0.333,0.03,-0.18,0.36,0.40
0.343,0.08,-0.20,0.40,0.45
0.353,0.15,-0.19,0.36,0.43
0.363,0.22,-0.19,0.22,0.36
0.373,0.24,-0.19,0.08,0.31
0.383,0.20,-0.17,-0.08,0.28
0.393,0.12,-0.14,-0.19,0.27
0.403,0.04,-0.10,-0.28,0.30
0.413,0.05,-0.03,-0.37,0.37
0.423,0.06,0.04,-0.45,0.45
0.433,0.09,0.10,-0.47,0.49
0.444,0.10,0.09,-0.45,0.47
0.454,0.05,0.09,-0.34,0.36
0.464,-0.04,0.03,-0.14,0.15
0.474,-0.09,0.00,0.11,0.14
0.484,-0.05,-0.05,0.29,0.30
0.494,-0.01,-0.11,0.39,0.41
0.504,0.03,-0.15,0.49,0.51
0.514,0.00,-0.15,0.50,0.52
0.524,-0.05,-0.15,0.45,0.47
0.534,-0.02,-0.14,0.30,0.33
0.544,0.09,-0.14,0.09,0.19
0.554,0.20,-0.13,-0.12,0.26
0.564,0.21,-0.10,-0.32,0.39
0.575,0.16,-0.08,-0.41,0.45
0.585,0.11,-0.08,-0.44,0.46
0.595,0.08,-0.09,-0.40,0.42
0.605,0.03,-0.12,-0.31,0.33
0.615,0.00,-0.13,-0.15,0.20
0.625,-0.01,-0.13,-0.05,0.14
0.635,-0.04,-0.11,-0.00,0.12
0.645,-0.05,-0.08,0.01,0.10
0.655,-0.04,-0.05,-0.03,0.07
0.665,-0.03,-0.03,-0.10,0.11
0.675,-0.03,-0.02,-0.17,0.17
0.685,-0.02,-0.01,-0.16,0.16
0.695,0.02,-0.02,-0.12,0.12
0.706,0.07,-0.03,-0.05,0.09
0.716,0.14,-0.07,0.04,0.16
0.726,0.16,-0.08,0.16,0.24
0.736,0.09,-0.13,0.28,0.32
0.746,0.03,-0.12,0.34,0.36
0.756,-0.03,-0.13,0.35,0.37
0.766,-0.00,-0.13,0.27,0.29
0.776,0.05,-0.09,0.13,0.17
0.786,0.05,-0.08,-0.01,0.09
0.796,0.03,-0.04,-0.15,0.16
0.806,-0.01,-0.03,-0.26,0.26
0.816,0.00,-0.05,-0.32,0.32
0.827,0.03,-0.06,-0.32,0.33
