time,ax,ay,az,atotal
0.000,-0.01,-0.01,-0.04,0.05
0.010,0.00,-0.01,-0.04,0.04
0.020,-0.01,-0.02,-0.06,0.06
0.030,-0.01,-0.02,-0.06,0.06
0.040,-0.01,0.00,-0.05,0.05
0.050,-0.00,0.01,-0.04,0.04
0.061,-0.01,-0.02,-0.05,0.05
0.071,-0.01,-0.00,-0.04,0.04
0.081,-0.01,-0.02,-0.06,0.06
0.091,-0.01,-0.01,-0.04,0.04
0.101,-0.02,-0.01,-0.04,0.05
0.111,-0.01,0.01,-0.03,0.04
0.121,-0.00,-0.01,-0.04,0.04
0.131,-0.02,-0.00,-0.04,0.05
0.141,-0.00,0.00,-0.04,0.04
0.151,-0.02,-0.00,-0.06,0.06
0.161,-0.01,-0.00,-0.06,0.06
0.172,0.00,-0.02,-0.05,0.05
0.181,-0.01,-0.01,-0.05,0.05
0.192,-0.02,-0.03,-0.04,0.05
0.202,-0.01,-0.01,-0.05,0.05
0.212,-0.00,-0.00,-0.04,0.04
0.222,-0.01,-0.00,-0.03,0.03
0.232,-0.00,0.00,-0.05,0.05
0.242,-0.00,-0.01,-0.05,0.05
0.252,0.00,0.00,-0.04,0.04
0.262,-0.01,0.00,-0.05,0.05
0.272,-0.01,-0.00,-0.04,0.04
0.282,-0.01,-0.00,-0.05,0.05
0.293,-0.01,-0.01,-0.05,0.05
0.303,-0.00,0.00,-0.05,0.05
0.313,-0.00,-0.01,-0.06,0.06
0.323,-0.01,0.00,-0.05,0.06
0.333,0.00,-0.01,-0.05,0.05
0.343,-0.01,0.00,-0.04,0.04
0.353,-0.02,-0.00,-0.05,0.05
0.363,0.00,-0.01,-0.05,0.05
0.373,-0.00,-0.02,-0.05,0.05
0.383,0.01,-0.01,-0.04,0.04
0.393,0.01,-0.00,-0.05,0.05
0.403,-0.01,-0.01,-0.05,0.05
0.413,-0.00,-0.01,-0.04,0.05
0.423,-0.00,-0.01,-0.04,0.04
0.434,0.01,-0.00,-0.05,0.05
0.444,0.01,-0.01,-0.05,0.05
0.454,0.00,-0.01,-0.06,0.06
0.464,0.01,-0.01,-0.04,0.05
0.474,-0.01,-0.01,-0.04,0.04
0.484,-0.01,-0.02,-0.05,0.05
0.494,-0.01,-0.01,-0.05,0.05
0.504,-0.00,-0.01,-0.05,0.05
0.514,0.00,0.01,-0.05,0.05
0.524,0.00,-0.01,-0.04,0.05
0.534,-0.01,-0.01,-0.05,0.05
0.544,-0.02,-0.01,-0.04,0.04
0.555,-0.02,-0.01,-0.05,0.05
0.565,-0.00,-0.02,-0.04,0.05
0.575,0.00,-0.01,-0.06,0.06
0.585,0.01,-0.01,-0.04,0.04
0.595,-0.00,-0.01,-0.03,0.03
0.605,-0.01,-0.02,-0.05,0.06
0.615,-0.01,-0.02,-0.06,0.07
0.625,0.00,-0.01,-0.03,0.03
0.635,-0.01,-0.00,-0.05,0.05
0.645,-0.01,0.00,-0.05,0.05
0.655,-0.01,-0.00,-0.04,0.04
0.665,0.01,-0.01,-0.04,0.04
0.676,0.00,0.01,-0.06,0.06
0.686,0.01,-0.00,-0.06,0.06
0.696,-0.03,-0.01,-0.06,0.06
0.706,-0.01,-0.01,-0.05,0.05
0.716,-0.02,-0.01,-0.05,0.05
