time,ax,ay,az,atotal
0.000,-0.38,-1.38,0.77,1.63
0.010,-0.42,-1.37,0.73,1.61
0.020,-0.44,-1.16,0.60,1.38
0.030,-0.44,-0.94,0.48,1.15
0.040,-0.48,-0.84,0.46,1.07
0.051,-0.45,-0.82,0.55,1.09
0.060,-0.42,-0.94,0.54,1.16
0.071,-0.67,-1.11,0.47,1.38
0.081,-1.00,-1.32,0.43,1.71
0.091,-1.20,-1.55,0.44,2.01
0.101,-1.41,-1.72,0.51,2.28
0.111,-1.50,-1.79,0.57,2.40
0.121,-1.50,-1.65,0.59,2.31
0.131,-1.45,-1.37,0.53,2.06
0.141,-1.29,-1.07,0.38,1.71
0.151,-1.13,-0.71,0.16,1.35
0.161,-1.00,-0.30,0.03,1.05
0.172,-0.81,0.08,-0.01,0.82
0.181,-0.63,0.41,0.03,0.75
0.192,-0.45,0.60,0.14,0.76
0.202,-0.28,0.63,0.23,0.73
0.212,-0.21,0.57,0.46,0.76
0.222,-0.22,0.43,0.82,0.95
0.232,-0.23,0.28,1.10,1.16
0.242,-0.27,0.22,1.13,1.19
0.252,-0.33,0.25,0.95,1.03
0.262,-0.30,0.41,0.50,0.72
0.272,-0.15,0.66,-0.05,0.67
0.282,-0.04,0.82,-0.42,0.92
0.293,-0.01,0.80,-0.65,1.03
0.303,-0.03,0.74,-0.83,1.11
0.313,-0.11,0.58,-0.92,1.09
0.323,-0.23,0.28,-0.92,0.99
0.333,-0.40,-0.04,-0.87,0.96
0.343,-0.53,-0.27,-0.73,0.94
0.353,-0.52,-0.39,-0.62,0.90
0.363,-0.45,-0.33,-0.73,0.92
0.373,-0.36,-0.11,-1.01,1.08
0.383,-0.27,0.07,-1.34,1.37
0.393,-0.15,0.22,-1.56,1.58
0.403,0.03,0.35,-1.67,1.70
0.413,0.21,0.39,-1.60,1.66
0.423,0.28,0.28,-1.36,1.42
0.434,0.33,0.08,-0.94,1.00
0.444,0.40,-0.09,-0.36,0.55
0.454,0.43,-0.32,0.21,0.58
0.464,0.43,-0.49,0.63,0.90
0.474,0.37,-0.54,0.83,1.06
0.484,0.28,-0.56,0.81,1.03
0.494,0.15,-0.54,0.61,0.83
0.504,-0.02,-0.49,0.29,0.57
0.514,-0.19,-0.40,0.06,0.45
0.524,-0.23,-0.30,-0.18,0.42
0.534,-0.20,-0.19,-0.45,0.53
0.544,-0.29,-0.10,-0.59,0.66
0.555,-0.42,-0.09,-0.49,0.65
0.564,-0.53,-0.07,-0.22,0.58
0.575,-0.57,-0.01,0.17,0.59
0.585,-0.56,0.06,0.58,0.81
0.595,-0.49,0.11,0.82,0.96
0.605,-0.41,0.23,0.93,1.04
0.615,-0.33,0.36,0.89,1.01
0.625,-0.32,0.44,0.73,0.91
0.635,-0.40,0.42,0.54,0.79
0.645,-0.44,0.34,0.24,0.61
0.655,-0.45,0.21,0.10,0.51
0.665,-0.45,0.03,0.18,0.48
0.675,-0.34,-0.14,0.43,0.56
0.685,-0.18,-0.31,0.73,0.81
0.696,-0.11,-0.43,0.97,1.07
0.706,-0.04,-0.48,1.14,1.23
0.716,0.06,-0.50,1.10,1.21
0.726,0.04,-0.41,0.84,0.94
0.736,-0.06,-0.32,0.48,0.58
0.746,-0.20,-0.27,0.16,0.37
0.756,-0.38,-0.16,-0.12,0.43
0.766,-0.53,-0.05,-0.34,0.63
0.776,-0.68,-0.07,-0.33,0.76
0.786,-0.84,-0.23,-0.20,0.89
0.797,-0.98,-0.25,0.21,1.04
0.806,-1.00,-0.38,0.80,1.34
0.817,-0.79,-0.70,1.07,1.50
0.827,-0.40,-0.60,1.02,1.25
0.837,-0.38,-0.48,0.79,1.00
0.847,-0.40,-0.42,0.47,0.74
0.857,-0.34,-0.41,0.20,0.57
0.867,-0.34,-0.43,0.08,0.55
0.877,-0.35,-0.47,0.04,0.59
0.887,-0.27,-0.59,-0.01,0.65
0.897,-0.20,-0.82,-0.15,0.86
0.907,-0.26,-1.11,-0.35,1.19
0.917,-0.52,-1.39,-0.58,1.59
0.927,-0.85,-1.72,-0.80,2.08
0.938,-1.04,-2.01,-0.85,2.41
0.947,-0.88,-2.28,-0.84,2.59
0.958,-0.75,-2.62,-0.99,2.89
