timestamp,ax,ay,az
397.769,-7.85,1.26,8.64
397.779,-8.64,0.65,7.94
397.789,-9.43,-0.16,7.12
397.8,-10.04,-0.29,6.83
397.81,-10.04,0.04,6.77
397.82,-9.22,0.62,7.0
397.83,-7.86,1.37,7.8
397.84,-6.66,2.07,8.94
397.85,-5.78,2.87,9.54
397.86,-5.31,3.85,9.61
397.87,-5.11,5.27,9.3
397.88,-4.28,6.99,9.44
397.89,-2.32,8.72,10.3
397.9,0.73,10.38,11.67
397.91,4.31,11.71,13.05
397.92,7.02,12.0,12.89
397.93,8.64,11.67,11.1
397.941,8.92,10.87,8.71
397.951,8.2,9.87,6.38
397.961,7.27,9.26,4.4
397.971,6.58,8.53,3.27
397.981,6.08,7.43,2.98
397.991,5.56,6.04,2.58
398.001,5.03,4.54,1.96
398.011,4.48,3.26,1.24
398.021,3.77,1.93,0.68
398.031,3.17,0.62,0.34
398.041,2.56,-0.63,-0.07
398.051,1.67,-1.57,-0.43
398.062,0.9,-2.03,-0.88
398.072,0.51,-2.17,-1.44
398.082,0.25,-2.53,-1.72
398.092,0.17,-2.25,-1.99
398.102,0.66,-2.29,-2.89
398.112,1.4,-2.42,-3.77
398.122,1.74,-2.21,-4.31
398.132,1.98,-1.88,-4.47
398.142,2.45,-1.79,-4.4
398.152,2.55,-2.07,-4.39
398.162,2.77,-2.47,-3.94
398.172,2.97,-2.79,-2.87
398.182,3.21,-3.46,0.09
398.193,4.33,-3.47,-1.47
398.203,4.72,-3.6,-1.91
398.213,4.48,-3.76,-2.03
398.223,4.72,-4.34,-2.39
398.233,4.22,-5.12,-2.7
398.243,4.06,-5.55,-2.86
398.253,5.08,-4.71,-3.26
398.263,5.38,-4.36,-3.97
398.273,4.61,-5.74,-4.77
398.283,3.33,-6.99,-5.54
398.293,1.92,-7.6,-6.02
398.304,0.94,-8.05,-6.25
398.313,0.83,-8.41,-6.24
398.324,1.55,-8.59,-5.87
398.334,3.07,-8.55,-5.4
398.344,5.2,-8.06,-5.12
398.354,7.41,-7.1,-4.58
398.364,9.16,-6.2,-3.83
398.374,10.27,-5.76,-3.3
398.384,10.77,-5.49,-2.9
398.394,10.97,-5.07,-2.48
398.404,10.97,-4.42,-2.09
398.414,11.79,-4.09,-0.37
398.424,9.84,-3.58,-1.27
398.434,8.56,-3.58,-1.66
398.444,7.78,-3.64,-1.45
398.455,7.0,-3.97,-1.51
398.465,6.51,-3.89,-1.19
398.475,6.02,-3.76,-1.07
398.485,5.63,-3.65,-0.98
398.495,5.42,-3.51,-0.88
398.505,5.32,-3.16,-0.89
398.515,5.27,-2.59,-0.81
398.525,4.98,-1.93,-0.53
398.535,4.51,-1.41,-0.57
398.545,4.16,-1.0,-0.9
398.555,4.03,-0.56,-1.16
398.566,4.07,-0.1,-1.12
398.576,4.47,0.53,-0.79
398.586,5.07,1.43,-0.2
398.596,6.12,2.5,0.4
398.606,7.35,3.77,0.85
398.616,7.81,4.95,1.08
398.626,7.36,6.01,0.72
398.636,6.45,7.03,0.12
398.646,5.79,8.09,-0.26
398.656,5.82,9.21,-0.61
398.666,6.83,10.17,-0.43
398.676,8.1,10.68,0.62
398.686,9.29,10.81,2.04
398.697,10.17,10.63,3.29
398.707,10.51,10.42,4.24
398.717,10.42,10.1,4.75
398.727,9.74,9.86,4.91
398.737,8.77,9.69,5.39
398.747,8.11,9.26,6.15
398.757,7.72,8.55,6.86
398.767,7.01,7.66,7.47
398.777,6.01,6.56,7.88
398.787,4.66,4.99,7.96
398.797,2.5,3.42,7.72
398.807,1.92,4.42,7.54
398.817,1.8,4.67,7.43
398.828,0.48,3.64,7.51
398.838,-1.39,3.24,7.37
398.848,-2.57,3.38,7.12
398.858,-3.27,3.5,7.33
398.868,-3.54,3.62,7.81
398.878,-3.55,3.39,8.33
398.888,-3.48,2.69,8.97
398.898,-3.45,1.92,9.55
398.908,-3.5,1.32,9.93
398.918,-3.77,0.8,10.04
398.928,-4.07,0.21,9.72
398.938,-4.58,-0.48,9.42
398.948,-4.94,-1.44,8.84
398.959,-5.09,-2.37,8.01
398.969,-5.13,-3.07,7.26
398.979,-5.11,-3.75,6.66
398.989,-4.85,-4.27,6.16
398.999,-4.42,-4.72,5.51
399.009,-4.04,-5.29,4.93
399.019,-3.9,-5.74,4.53
399.029,-4.11,-6.34,4.16
399.039,-4.74,-7.0,3.71
399.049,-5.48,-7.69,3.24
399.059,-6.18,-8.2,2.79
399.069,-6.82,-8.57,2.32
399.079,-7.16,-8.84,1.74
399.089,-6.99,-9.0,1.3
399.099,-6.49,-9.02,1.06
399.11,-5.89,-8.88,0.81
399.12,-4.94,-8.61,0.5
399.13,-3.85,-8.31,0.12
399.14,-3.24,-7.98,-0.22
399.15,-3.23,-7.93,-0.84
399.16,-2.71,-8.02,-1.25
399.17,-2.32,-8.28,-1.48
399.18,-2.71,-8.61,-1.54
399.19,-2.41,-8.56,-0.93
399.2,-2.34,-8.43,-0.48
399.211,-1.88,-8.39,-0.23
399.221,-1.29,-8.43,0.21
399.231,-0.68,-8.37,0.74
