timestamp,ax,ay,az
137.341,-0.0,0.0,-0.06
137.351,0.01,-0.0,-0.04
137.361,0.0,-0.01,-0.03
137.371,-0.02,-0.0,-0.05
137.381,-0.0,-0.01,-0.05
137.391,0.01,-0.0,-0.05
137.402,0.0,-0.02,-0.06
137.412,-0.01,-0.01,-0.05
137.422,-0.01,0.01,-0.03
137.432,-0.02,0.01,-0.04
137.442,-0.01,0.0,-0.05
137.452,-0.01,-0.01,-0.05
137.462,-0.01,-0.02,-0.04
137.472,0.0,0.01,-0.04
137.482,0.01,0.01,-0.05
137.492,-0.02,0.0,-0.05
137.503,0.01,-0.0,-0.04
137.513,0.01,-0.01,-0.05
137.523,-0.01,0.01,-0.04
137.533,-0.01,-0.01,-0.05
137.543,0.0,-0.01,-0.05
137.553,-0.0,-0.0,-0.04
137.563,0.01,-0.0,-0.04
137.573,0.0,-0.01,-0.04
137.583,0.0,-0.01,-0.05
137.593,-0.0,0.01,-0.05
137.603,-0.01,0.01,-0.05
137.613,-0.01,-0.0,-0.04
137.623,-0.02,-0.02,-0.04
137.634,-0.01,-0.0,-0.04
137.644,0.0,-0.0,-0.05
137.654,-0.01,-0.01,-0.03
137.664,-0.01,0.01,-0.05
137.674,0.01,-0.01,-0.04
137.684,0.0,-0.01,-0.05
137.694,-0.0,-0.01,-0.05
137.704,0.0,0.0,-0.04
137.714,-0.0,-0.01,-0.05
137.724,-0.01,0.0,-0.04
137.734,-0.01,0.01,-0.05
137.744,0.01,-0.0,-0.06
137.754,-0.02,0.0,-0.03
137.765,-0.0,-0.0,-0.05
137.775,0.02,-0.01,-0.07
137.785,-0.01,-0.01,-0.07
137.795,-0.01,-0.02,-0.06
137.805,-0.0,-0.01,-0.05
137.815,-0.0,-0.01,-0.06
137.825,-0.0,0.0,-0.05
137.835,0.0,-0.0,-0.05
137.845,0.0,-0.03,-0.05
137.855,0.01,-0.01,-0.05
137.866,-0.01,-0.0,-0.05
137.875,-0.0,-0.01,-0.06
137.886,-0.01,-0.02,-0.03
137.896,0.01,-0.01,-0.04
137.906,0.0,0.0,-0.04
137.916,-0.01,-0.0,-0.05
137.926,0.01,-0.0,-0.03
137.936,0.01,-0.01,-0.05
137.946,0.02,-0.0,-0.06
137.956,-0.0,0.01,-0.07
137.966,-0.0,-0.0,-0.05
137.976,-0.0,-0.01,-0.04
137.987,0.01,-0.02,-0.06
137.997,0.0,-0.02,-0.04
138.007,-0.01,-0.0,-0.04
138.017,-0.01,0.02,-0.05
138.027,-0.01,0.02,-0.05
138.037,-0.01,-0.01,-0.05
138.047,0.0,-0.01,-0.05
138.057,-0.0,-0.01,-0.07
138.067,0.01,-0.01,-0.05
138.077,0.02,0.0,-0.05
138.087,-0.01,-0.01,-0.05
138.097,-0.0,0.0,-0.05
138.108,0.02,0.01,-0.04
138.117,-0.0,0.01,-0.05
138.128,-0.02,-0.02,-0.05
138.138,0.0,-0.01,-0.04
138.148,-0.01,-0.01,-0.04
138.158,0.0,-0.0,-0.05
138.168,0.01,-0.01,-0.07
138.178,0.01,-0.01,-0.05
138.188,-0.01,-0.01,-0.04
138.198,0.01,0.01,-0.04
138.208,0.01,-0.0,-0.05
138.219,-0.0,-0.02,-0.05
138.228,0.01,0.01,-0.05
138.239,0.0,0.0,-0.04
138.249,0.0,-0.01,-0.03
138.259,-0.0,-0.02,-0.05
138.269,0.01,-0.0,-0.05
138.279,0.02,-0.01,-0.05
138.289,-0.02,-0.01,-0.05
138.299,0.0,-0.0,-0.04
138.309,0.0,-0.0,-0.04
138.319,0.02,-0.01,-0.05
138.329,-0.0,-0.0,-0.06
138.339,-0.01,-0.01,-0.04
138.349,-0.01,-0.01,-0.04
138.359,-0.01,-0.0,-0.06
138.37,0.02,-0.0,-0.05
138.38,-0.01,-0.0,-0.04
138.39,-0.01,-0.01,-0.04
138.4,-0.0,-0.01,-0.04
138.41,-0.0,-0.0,-0.05
138.42,0.01,-0.01,-0.05
138.43,-0.01,-0.01,-0.06
138.44,-0.01,-0.0,-0.05
138.45,0.0,-0.0,-0.05
138.46,-0.01,0.0,-0.05
138.471,0.0,0.0,-0.05
138.481,0.02,-0.01,-0.04
138.491,0.0,-0.01,-0.04
138.501,-0.01,-0.01,-0.05
138.511,0.01,-0.0,-0.04
138.521,0.01,0.0,-0.04
138.531,-0.01,-0.0,-0.05
138.541,-0.0,0.01,-0.05
138.551,0.01,-0.0,-0.03
138.561,0.0,-0.01,-0.03
138.571,-0.01,0.01,-0.04
138.581,0.0,-0.0,-0.05
