timestamp,ax,ay,az
238.959,-1.46,-1.41,-0.04
238.969,-1.43,-1.4,-0.37
238.979,-1.28,-1.3,-0.57
238.989,-1.1,-1.25,-0.74
239.0,-0.84,-1.24,-0.73
239.01,-0.66,-1.33,-0.48
239.02,-0.58,-1.56,0.06
239.03,-0.44,-1.62,0.8
239.04,-0.32,-1.48,1.31
239.05,-0.33,-1.12,1.34
239.06,-0.43,-0.77,1.1
239.07,-0.3,-0.48,0.72
239.08,-0.0,-0.15,0.36
239.09,0.33,0.36,0.13
239.1,0.66,1.08,-0.15
239.11,1.13,1.8,-0.53
239.121,1.71,2.32,-1.06
239.13,2.01,2.52,-1.34
239.141,2.25,2.75,-1.32
239.151,2.5,2.73,-1.2
239.161,2.59,2.55,-0.92
239.171,2.58,2.32,-0.64
239.181,2.45,1.89,-0.45
239.191,2.29,1.5,-0.25
239.201,2.18,1.26,-0.12
239.211,2.07,1.03,-0.04
239.221,2.01,0.88,-0.12
239.231,1.96,0.77,-0.39
239.242,1.83,0.69,-0.61
239.251,1.75,0.66,-0.77
239.262,1.67,0.61,-0.82
239.272,1.52,0.46,-0.75
239.282,1.3,0.26,-0.62
239.292,1.09,0.12,-0.43
239.302,0.85,-0.1,-0.18
239.312,0.64,-0.29,-0.08
239.322,0.52,-0.41,-0.1
239.332,0.4,-0.51,-0.06
239.342,0.32,-0.61,0.04
239.352,0.39,-0.67,0.0
239.362,0.55,-0.6,-0.02
239.372,0.64,-0.57,-0.02
239.383,0.85,-0.52,0.0
239.393,0.95,-0.58,0.01
239.403,0.93,-0.7,0.02
239.413,0.81,-0.8,0.0
239.423,0.64,-0.94,0.02
239.433,0.49,-1.04,0.04
239.443,0.24,-1.18,-0.0
239.453,0.04,-1.1,0.0
239.463,-0.08,-0.87,0.01
239.473,-0.07,-0.72,-0.01
239.483,-0.09,-0.64,-0.15
239.493,-0.17,-0.44,-0.2
239.504,-0.04,-0.26,-0.14
239.514,0.09,-0.14,-0.06
239.524,0.13,-0.06,-0.07
239.534,0.1,0.0,-0.13
239.544,0.12,0.07,-0.2
239.554,0.14,0.13,-0.2
239.564,0.16,0.17,-0.3
239.574,0.09,0.21,-0.43
239.584,0.02,0.29,-0.52
239.594,-0.03,0.3,-0.66
239.604,-0.17,0.16,-0.71
239.614,-0.45,0.02,-0.72
239.624,-0.85,-0.26,-0.6
239.634,-1.16,-0.54,-0.32
239.645,-1.2,-0.79,0.08
239.655,-1.15,-1.05,0.5
239.665,-1.16,-1.12,0.76
239.675,-1.2,-1.15,0.88
239.685,-1.22,-1.11,0.94
239.695,-1.18,-0.93,0.94
239.705,-1.05,-0.64,0.82
239.715,-0.9,-0.3,0.59
239.725,-0.76,0.03,0.25
239.735,-0.78,0.27,-0.06
239.746,-0.88,0.34,-0.24
239.756,-0.74,0.45,-0.2
239.766,-0.55,0.6,-0.12
239.776,-0.56,0.71,0.0
239.786,-0.6,0.76,0.07
239.796,-0.67,0.73,-0.08
239.806,-0.67,0.55,-0.23
239.816,-0.68,0.23,-0.02
239.826,-0.46,-0.11,0.46
239.836,-0.32,-0.55,0.98
239.846,-0.16,-0.91,1.55
239.856,0.09,-1.14,2.27
239.866,0.23,-1.28,2.93
239.876,0.1,-1.21,3.42
239.887,-0.14,-1.05,3.64
239.896,-0.42,-0.82,3.54
239.907,-0.65,-0.35,3.34
239.917,-0.88,0.28,2.86
239.927,-1.21,0.93,2.1
239.937,-1.7,1.48,1.48
239.947,-1.89,1.69,1.1
